HIRAL19
1234
100		8		38		290
355		20		70		740
150		10		20		185
230		12		35		434
1175		71		245		1341
1245		69		188		1700
700		39		82		1084
1		1		1		1

RAJIV
1969
60		3		11		45
80		4		10		39
0		1		11		46
60		3		10		42
20		2		6		24
15		2		28		110
70		6		27		113
15		2		2		7
0		1		8		33
35		2		7		28
10		2		25		105
40		3		32		134
25		3		47		199
55		3		45		188
310		17		200		458
65		6		83		177
160		7		124		264
15		2		29		61
225		14		125		266
1185		28		735		1606
35		2		8		45
45		3		35		186
485		2		225		1200
520		4		229		1327
120		6		86		489
400		13		119		679
35		2		21		121
220		11		109		632
0		1		11		66
655		16		203		1182
1		1		1		1

TESTING
1234
10		2		9		84
820		48		95		1077
0		1		14		29
0		1		3		31
365		20		64		449
455		26		71		616
25		1		3		35
920		43		94		803
1220		46		136		1523
0		1		3		24
0		1		4		38
45		4		28		221
0		1		11		91
0		1		8		65
0		1		4		31
50		3		7		57
0		1		7		61
0		1		16		129
0		1		9		70
0		1		6		48
0		1		13		101
0		1		5		41
0		1		4		32
0		1		9		73
0		1		3		25
0		1		6		48
10		2		37		77
0		1		19		40
0		1		40		84
0		1		9		20
0		1		22		47
0		1		19		40
0		1		7		57
0		1		5		44
0		1		3		28
55		5		11		89
75		5		31		242
0		1		7		60
0		1		3		29
0		1		2		20
0		1		3		24
10		2		7		61
55		3		15		124
125		7		31		219
70		4		18		134
10		2		10		102
0		1		7		59
185		5		182		1020
0		1		8		48
95		6		109		611
10		2		11		64
100		5		27		157
45		4		29		173
185		7		34		199
165		10		57		333
1		1		1		1

NISHA
1234
165		10		39		39
150		8		23		100
60		5		21		265
80		6		28		354
105		7		20		257
25		2		6		62
45		4		47		102
285		14		83		428
280		14		121		623
25		3		30		157
505		19		141		732
600		14		211		1111
15		2		17		92
60		4		38		201
135		8		69		361
20		2		6		33
300		15		111		584
425		23		175		919
105		6		19		102
55		5		16		85
375		16		142		743
210		14		134		703
120		6		21		151
180		12		75		528
220		11		66		467
60		4		14		115
55		3		12		94
470		8		137		1093
25		2		16		133
20		3		24		190
25		2		7		57
75		6		31		244
505		11		139		1107
75		5		58		455
0		1		7		59
100		6		64		501
110		6		24		190
75		4		17		137
135		8		65		515
150		8		67		530
190		10		64		505
1075		14		302		2464
140		9		54		437
280		16		102		825
345		16		104		838
50		3		27		216
155		9		48		381
0		1		3		30
135		8		25		204
20		3		6		49
275		5		77		622
55		4		23		187
45		3		64		510
55		4		50		385
470		20		135		774
1480		51		435		2556
210		12		62		355
135		9		44		251
